examples,stage,Grf,DAdv,Context,Degree,abstract,compositionality,,,,,,,,,,,,,,,
到 [有] 十分颜色，又且通书达礼,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
要是手段拿的出去，能摆上两三席酒来，再 [有] 几分颜色，得三十两往下二十五两往上的数儿,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
相栋宇的夫人又都是大 [有] 意思的人，免了狄员外许多的照管,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
是年冬间，凭媒说合，娶得一妻，年二十岁，生得大 [有] 颜色,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
虽然没有那沉鱼落雁之姿，却也 [有] 几分颜色,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
喜得堂上官是个 [有] 主意的人，那人姓陆，名炳，平时极敬重沈公的节气,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
[有] 钱的大家凡百方便，不足二十日盖完了书房,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
闻得枣阳县王公之女，大 [有] 颜色，一县闻名，出五十金财礼，央媒议亲,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
又说那些替人做短工的人，若说这数伏天气，赤日当空的时候，那 [有] 钱的富家，便多与他个把钱也不为过,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
知陆秀才是 [有] 主意的人，又是同窗中的至契之友，特地与他商量,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
回到下处，心心念念的放他不下，肚里想着：“家中妻子，虽是 [有] 些颜色，怎比得妇人一半,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
若诵了经，只管往好处去，那 [有] 钱的人请几千几百的僧,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
故此卧房里面，鸨儿的脚也不搠进去，谁知他如此 [有] 钱,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
蒯三道：“都只好二十来岁，到也 [有] 十分颜色,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
些 [有] 钱有力的不肯出钱，专要讨人便宜,2,1,0,0,2,1,2,,,,,,,,,,,,,,,
晁梁到家以后，住在河路马头，木料易办； [有] 钱的人家，物力是不消费事的,2,1,0,0,2,1,2,,,,,,,,,,,,,,,
监生自恃了自己 [有] 钱，又道不过是吊死人命,2,0,0,0,2,1,2,,,,,,,,,,,,,,,
只道他掘了藏，原来却做了这行生意，故此 [有] 钱,2,0,0,0,2,1,2,,,,,,,,,,,,,,,
谁知秋公原是 [有] 意思的人，因见神仙下降,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
依了韦美的念头， [有] 钱的人家，多费了几斗米，倒也不放在心上,2,1,0,0,2,1,2,,,,,,,,,,,,,,,
人见他 [有] 钱，都称做王员外,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
那单氏到 [有] 八九分颜色，本地大户,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
到了次年正月初一日，常功想道：“这有幅子大袖的衣裳，那里见得只许 [有] 钱的人穿,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
这件东西，那 [有] 钱富家的人，一来谁家没有自己的羔皮，去买这见成来历不明的物事,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
我忽然想道，那外方的术士，必定 [有] 些意思的人，算出他妻宫这些恶状，我们当面听了，甚么好看,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
